component,layer,dim,selected_because,mean,mean_abs,mean_sq,var,constant_energy,constant_ratio,raw_energy_frac,centered_energy_frac,constant_energy_frac_of_raw
attn_delta,1,666,variable_rank_8,-1141.8590087890625,1141.8590087890625,52335588.0,51031748.0,1303841.9959527403,0.02491310494023188,0.0005980653531298839,0.004971983759580221,1.4899664903641635e-05
attn_delta,1,690,constant_rank_1;variable_rank_1;raw_rank_1,-267030.0625,267030.0625,72449998848.0,1144946688.0,71305054278.7539,0.9841967620779651,0.8279229450004231,0.11155127075641544,0.8148390817194697
attn_delta,1,722,constant_rank_5;raw_rank_5,-16720.8203125,16720.8203125,285190400.0,5604600.0,279585831.9229126,0.9803479777822557,0.0032590155915560334,0.0005460518455872471,0.003194969344742799
attn_delta,2,1,constant_rank_7,-6981.4755859375,6981.4755859375,88116528.0,39375524.0,48741001.35704136,0.5531425541079121,0.002519761221979774,0.001909082804014449,0.0013937871580679661
attn_delta,2,23,variable_rank_2;raw_rank_6,-3625.526123046875,3625.526123046875,151150320.0,138005872.0,13144439.668895304,0.08696269825227829,0.0043222619373499815,0.006691076341948342,0.0003758755606250742
attn_delta,2,35,variable_rank_4,-210.3007049560547,210.3007049560547,124959136.0,124914912.0,44226.386505013565,0.00035392679495650136,0.0035733044908997863,0.00605637427108724,1.264688205867834e-06
attn_delta,2,126,constant_rank_9;variable_rank_9;raw_rank_8,-6680.70703125,6680.70703125,139821664.0,95189816.0,44631846.43739319,0.31920551623096965,0.0039983101347330135,0.004615182793323575,0.0012762826506089696
attn_delta,2,363,constant_rank_2;variable_rank_6;raw_rank_2,-11686.39453125,11686.39453125,252507232.0,115935416.0,136571817.1400299,0.5408629925499714,0.007220642323345404,0.005621012410193236,0.0039053782151375733
attn_delta,2,392,constant_rank_5;raw_rank_10,8441.544921875,8441.544921875,134535376.0,63275692.0,71259680.6680336,0.5296724384821551,0.003847144583695676,0.0030678584876563074,0.002037726452839504
attn_delta,2,430,variable_rank_8,1004.0319213867188,1004.0319213867188,98237040.0,97228960.0,1008080.0991635062,0.010261710849222516,0.0028091651994512985,0.004714048645757926,2.882684100446772e-05
attn_delta,2,456,variable_rank_5;raw_rank_9,-3718.82470703125,3718.82470703125,136347760.0,122518104.0,13829657.201626062,0.1014292952200026,0.0038989711255055914,0.005940167438199778,0.00039546989334317246
attn_delta,2,461,variable_rank_3;raw_rank_5,-4034.630859375,4034.630859375,152401952.0,136123696.0,16278246.171421051,0.10681127083871636,0.0043580533359601145,0.006599820925620963,0.0004654892151968072
attn_delta,2,469,constant_rank_8,-6896.06298828125,6896.06298828125,88592720.0,41037040.0,47555684.73834252,0.536789983853555,0.00253337830566488,0.001989639741471202,0.0013598920997927976
attn_delta,2,524,constant_rank_6,-7230.54833984375,7230.54833984375,109506680.0,57225852.0,52280829.29481721,0.47742137095944476,0.003131429393266018,0.002774538060706846,0.0014950113139957646
attn_delta,2,530,constant_rank_3;raw_rank_3,-9423.119140625,9423.119140625,174695888.0,85900728.0,88795174.33841324,0.5082842839346811,0.004995565919502886,0.004164810674700418,0.0025391676462430206
attn_delta,2,608,variable_rank_10,6041.013671875,6041.013671875,130142952.0,93649104.0,36493846.18378067,0.2804135423620994,0.003721539774735281,0.004540482916691109,0.0010435701512749695
attn_delta,2,643,constant_rank_4;raw_rank_4,-8962.3056640625,8962.3056640625,170052736.0,89729816.0,80322922.81608677,0.4723412554567,0.004862791346753516,0.004350460167412136,0.002296896969749533
attn_delta,2,666,variable_rank_7;raw_rank_7,-6326.4794921875,6326.4794921875,146019104.0,105994760.0,40024342.76506901,0.2741034677563082,0.004175530791765101,0.005139049670339335,0.0011445274697460574
attn_delta,2,690,constant_rank_1;variable_rank_1;raw_rank_1,-102231.34375,102231.34375,11947624448.0,1496376320.0,10451247644.930664,0.8747552863264106,0.3416516908025235,0.07255030563774649,0.2988616226118638
attn_delta,2,747,constant_rank_10,-6607.24853515625,6607.24853515625,98766312.0,55110580.0,43655733.20532441,0.442010360833605,0.0028243001473634505,0.0026719812185169297,0.0012483699272385225
attn_delta,3,35,variable_rank_7;raw_rank_8,-9163.759765625,9163.759765625,280475136.0,196500640.0,83974493.04208755,0.2994008461487565,0.0030440301307965646,0.004727930432338607,0.0009113851968628014
attn_delta,3,70,constant_rank_9;raw_rank_7,-10352.205078125,10352.205078125,281532992.0,174364832.0,107168149.97955704,0.38065929402532345,0.0030555111682388425,0.004195328806778485,0.0011631087241882891
attn_delta,3,85,raw_rank_10,9186.2431640625,9186.2431640625,251080624.0,166693568.0,84387063.46928501,0.3360954824984225,0.002725007983293047,0.004010753313690505,0.00091586287295693
attn_delta,3,100,constant_rank_2;variable_rank_4;raw_rank_2,-13961.3564453125,13961.3564453125,424596768.0,229677296.0,194919473.7930689,0.4590696125908073,0.004608199406420249,0.005526181886102978,0.002115484316246532
attn_delta,3,165,variable_rank_5;raw_rank_5,9502.9150390625,9502.9150390625,296955168.0,206649776.0,90305394.23964024,0.3041044708797263,0.003222889885282936,0.0049721251024238714,0.0009800952232675892
attn_delta,3,189,constant_rank_7,-10739.921875,10739.921875,235179312.0,119833400.0,115345921.88110352,0.4904594749435423,0.002552429146047392,0.002883267854346964,0.001251863058800998
attn_delta,3,208,constant_rank_4;raw_rank_9,-13461.4296875,13461.4296875,277188672.0,95978600.0,181210089.23150635,0.6537427663404165,0.0030083617447055487,0.0023093061874671465,0.0019666947291364875
attn_delta,3,302,variable_rank_10,-2780.43798828125,2780.43798828125,186235392.0,178504560.0,7730835.4066774845,0.041511096916946294,0.0020212349399438725,0.004294933296579659,8.390367948392822e-05
attn_delta,3,311,variable_rank_2;raw_rank_4,8886.0048828125,8886.0048828125,333147488.0,254186384.0,78961082.77736759,0.23701539294622445,0.0036156894544519874,0.006115886138588186,0.0008569740568184576
attn_delta,3,394,constant_rank_5,-11300.392578125,11300.392578125,201633856.0,73934984.0,127698872.41974258,0.6333205888784004,0.0021883563078215094,0.0017789227600890664,0.0013859311055452804
attn_delta,3,402,constant_rank_6,10966.654296875,10966.654296875,197137584.0,76870080.0,120267506.4671669,0.6100688870528458,0.0021395577310939916,0.001849543037459335,0.0013052776037938234
attn_delta,3,435,variable_rank_6,-2281.44775390625,2281.44775390625,201805632.0,196600640.0,5205003.853803873,0.025792163490282932,0.002190220613254087,0.004730336495968903,5.649052813683715e-05
attn_delta,3,456,variable_rank_3;raw_rank_6,-6292.58349609375,6292.58349609375,283853504.0,244256896.0,39596607.05531144,0.1394966294138523,0.003080695961969988,0.0058769763391455935,0.00042974670294367864
attn_delta,3,461,variable_rank_8,580.1327514648438,580.1327514648438,192342288.0,192005728.0,336554.00932217017,0.0017497660697587739,0.0020875138112005425,0.004619779989492803,3.6526608369915325e-06
