component,layer,tokens_seen,hidden_dim,constant_energy_fraction,centered_energy_fraction,raw_total_energy,centered_total_energy,constant_total_energy,raw_pr,centered_pr,constant_pr,raw_entropy_norm,centered_entropy_norm,raw_k90,centered_k90,constant_k90,raw_top1_frac,centered_top1_frac,constant_top1_frac,raw_top_dim,constant_top_dim,variable_top_dim,constant_top_dim_energy_frac_of_raw,variable_top_dim_energy_frac_of_centered
mix_delta,2,3276800,768,0.19279661500303455,0.8072033410415445,235505617633.0865,190100921387.4799,45404685893.85804,1.0981677494449922,1.091984415121297,1.1244608870613113,0.06684026952671446,0.06511926027590793,1,1,1,0.9542492986903054,0.9569517924702765,0.9429344526406732,690,690,690,0.18179457063886098,0.9569517924702765
mix_delta,3,3276800,768,0.3166070506109632,0.6833928740368559,329703902815.85406,225317297726.49475,104386580245.45122,1.0628556794171622,1.0820167720201992,1.0231839956517272,0.04625361059853329,0.05853252944290848,1,1,1,0.9699771735932934,0.9613490556545464,0.9886008647183129,690,690,690,0.3129980040099129,0.9613490556545464
mix_delta,4,3276800,768,0.5525395530582886,0.4474604878316215,433498422881.2699,193973415776.6916,239525024830.28986,1.2265390545851955,1.5482147239647734,1.034156688835147,0.13935712000758824,0.2606532181302012,1,158,1,0.9029266965780971,0.8036255672656523,0.9833432668336783,690,690,690,0.5433360491591581,0.8036255672656523
mix_delta,5,3276800,768,0.6436569775870521,0.3563430031229738,185459042482.6106,66087032154.56464,119372006750.54582,1.5354842262589168,3.7608152134073856,1.0660176525808758,0.2538693310629585,0.5578957131422811,133,336,1,0.8069438173985627,0.5150658149149298,0.9685340490679487,690,690,690,0.6234036987132254,0.5150658149149298
mix_delta,6,3276800,768,0.47049077700650466,0.5295091868852276,105399611314.375,55810062485.09375,49589545023.48387,4.127894302924076,30.634096074129776,1.3984890552468854,0.5984454215620171,0.8730279757678556,461,549,31,0.491699410213402,0.17732979508208438,0.8455035371754649,690,690,690,0.3978016161674326,0.17732979508208438
mix_delta,7,3276800,768,0.12691992006369468,0.8730800860361709,2918850116504.0,2548389910844.0,370460223464.59357,1.3748552470955164,1.3294243368449192,1.7593495543819888,0.20102432036800014,0.1854809190249665,62,52,52,0.8528050467125069,0.8672719447849416,0.753287489774746,690,690,690,0.09560718798719199,0.8672719447849416
mix_delta,8,3276800,768,0.34639112000424116,0.6536088581767584,724070518729.6562,473258904986.34375,250811597944.8175,2.320514658862867,3.1330499611331226,1.4538547882261303,0.4216646724181576,0.5157394319609793,283,342,39,0.6562364416792522,0.5645558787059901,0.8292293899827933,690,690,690,0.28723769713657343,0.5645558787059901
mix_delta,9,3276800,768,0.6723896316275099,0.32761038567411843,309917171042.98376,101532083932.42365,208385092472.6318,1.3750952162446068,2.430006560280097,1.0944199379773993,0.18918015953983047,0.41307391244214375,33,182,1,0.8526729702090269,0.640970864217802,0.9558212151382649,690,690,690,0.6426842747485767,0.640970864217802
mix_delta,10,3276800,768,0.3872279551556459,0.6127720195493395,357502350817.8617,219067437504.29755,138434904270.53693,13.714455363335308,90.45588090670239,2.7872197061329183,0.6800972584917976,0.8050556666102211,183,214,55,0.25728418865380076,0.0649604975076263,0.5948149747652808,690,690,629,0.23032898637431676,0.0649604975076263
mix_delta,11,3276800,768,0.4770396069734532,0.5229603890729283,16614241093056.0,8688589986176.0,7925651041193.63,6.5255134399865575,100.88586764297503,1.6633358299027206,0.6278708411497902,0.868103407961941,316,458,28,0.3856956083348442,0.06979905823210696,0.7742451928956489,690,690,629,0.36934562252002584,0.06979905823210696
