layer,component,rank,feature_index,total_pos_delta_energy,share_total_pos_delta_energy,token_topk_count,token_topk_frac,mean_before_energy,mean_after_energy,mean_energy_ratio,selected_tokens
4,block,7,551,8638924062720.0,0.006167661503328324,96,0.046875,38801457152.0,42746224640.0,1.1519999936036864e+17,2048
4,block,8,443,8385926791168.0,0.005987036981007071,280,0.13671875,73261809664.0,76864454656.0,1.3342567682266235,2048
4,block,9,104,7193808076800.0,0.005135937393995564,199,0.09716796875,45921705984.0,49078775808.0,5.660479992312627e+17,2048
4,block,10,548,6531478192128.0,0.00466307451170404,220,0.107421875,5728487936.0,7949165568.0,1.920799947041538e+18,2048
4,block,11,765,6431741837312.0,0.004591868876417177,293,0.14306640625,8231947776.0,9428773888.0,1.3711679656506163e+18,2048
4,block,12,654,6136178147328.0,0.004380854544162239,155,0.07568359375,7997969408.0,10732887040.0,2.832200004481843e+16,2048
4,block,13,531,6090688823296.0,0.004348377959044965,284,0.138671875,1708454016.0,4251907072.0,2.1291520403859046e+18,2048
4,block,14,628,5977856278528.0,0.00426782244800728,160,0.078125,10881821696.0,13152952320.0,46.094810485839844,2048
4,block,15,11,5759590989824.0,0.004111994429508799,338,0.1650390625,1971585408.0,4323037696.0,8.192000030870077e+17,2048
4,block,16,667,5668299866112.0,0.004046818170842068,116,0.056640625,8449525248.0,11099446272.0,68.90975189208984,2048
4,block,17,322,5270932553728.0,0.0037631223011390315,195,0.09521484375,14987859968.0,16618244096.0,50000000188416.0,2048
4,block,18,182,5089607548928.0,0.0036336673778665997,146,0.0712890625,8711903232.0,10706327552.0,80.21820068359375,2048
4,block,19,114,5075386761216.0,0.003623514608345589,260,0.126953125,5643471872.0,4692488192.0,1.81228460901086e+18,2048
4,block,20,264,4935278133248.0,0.0035234856481731686,90,0.0439453125,10675863552.0,12773719040.0,2.6600499843170304e+16,2048
4,block,21,189,4889094651904.0,0.003490513477344133,118,0.0576171875,2637806848.0,4364430848.0,1.1036352361848111e+19,2048
4,block,22,380,4832054214656.0,0.0034497901064251,199,0.09716796875,5068027904.0,5462953472.0,4.231999983064187e+17,2048
4,block,23,617,4792659738624.0,0.0034216648686637373,108,0.052734375,8758604800.0,9865201664.0,4.841279920506143e+17,2048
4,block,24,2,4364222070784.0,0.0031157866723365265,150,0.0732421875,5275575296.0,6261405184.0,2.784800101158093e+16,2048
4,block,25,214,4175617851392.0,0.002981134836660699,105,0.05126953125,24170018816.0,24647798784.0,504.5620422363281,2048
4,block,26,291,4018639994880.0,0.00286906228278074,160,0.078125,1886850560.0,3111518208.0,1084.265625,2048
4,block,27,696,3956045250560.0,0.0028243734775487157,192,0.09375,3235171840.0,4129724160.0,379.3819274902344,2048
4,block,28,513,3870314987520.0,0.002763167332063101,86,0.0419921875,3548435200.0,4796164608.0,5.324799779547382e+17,2048
4,block,29,37,3851452678144.0,0.002749700800981498,93,0.04541015625,1741963648.0,2959306496.0,1165.56298828125,2048
4,block,30,13,3789357318144.0,0.002705368525500571,80,0.0390625,2647412992.0,3756285440.0,1.1597120884199916e+18,2048
4,block,31,476,3733777547264.0,0.002665687980709157,130,0.0634765625,2122148480.0,3184158720.0,4.681799967965184e+16,2048
4,block,32,101,3726387445760.0,0.002660411901857092,114,0.0556640625,8187826176.0,7768990720.0,176.9146270751953,2048
5,block,1,690,892972958744576.0,0.2227069790658686,1793,0.87548828125,972239011840.0,1270747103232.0,2.0017449855804443,2048
5,block,2,628,33909150580736.0,0.008456924047445271,783,0.38232421875,13152952320.0,29682681856.0,1.1796480209379656e+18,2048
5,block,3,365,29625593888768.0,0.007388607295875582,884,0.431640625,6198086656.0,19819005952.0,8.388607965640262e+18,2048
5,block,4,322,28704275169280.0,0.0071588308992168595,433,0.21142578125,16618244096.0,30548856832.0,5.1612800666671514e+17,2048
5,block,5,214,23928439308288.0,0.005967739985768266,106,0.0517578125,24647798784.0,36177166336.0,47.61872100830078,2048
5,block,6,104,23921130733568.0,0.005965917231135856,216,0.10546875,49078775808.0,60656128000.0,3.264320143055913e+17,2048
5,block,7,158,23210982637568.0,0.005788806675210527,77,0.03759765625,38682902528.0,49819746304.0,4670.66259765625,2048
5,block,8,189,20776872837120.0,0.005181740990786529,406,0.1982421875,4364430848.0,14425499648.0,3.0751998824708833e+18,2048
5,block,9,722,18527006228480.0,0.004620625460014105,156,0.076171875,20708497408.0,29504978944.0,3527999953567744.0,2048
5,block,10,45,18069971795968.0,0.004506641316600703,190,0.0927734375,12057846784.0,20800118784.0,2415125071921152.0,2048
5,block,11,176,17918590976000.0,0.004468887020937612,343,0.16748046875,1185375232.0,9580280832.0,6.934176183441424e+18,2048
5,block,12,281,17887066587136.0,0.004461024855188865,222,0.1083984375,2041426688.0,10693346304.0,2405.691650390625,2048
5,block,13,654,17299891290112.0,0.004314583649661024,180,0.087890625,10732887040.0,18837850112.0,184.3910675048828,2048
5,block,14,506,16327777452032.0,0.004072138977549906,182,0.0888671875,7374456320.0,14379847680.0,752.8141479492188,2048
5,block,15,162,15887677521920.0,0.003962378289992088,266,0.1298828125,1355048064.0,8909901824.0,6.930559889697669e+18,2048
5,block,16,443,15396046372864.0,0.003839765743947162,151,0.07373046875,76864454656.0,83875676160.0,28.115127563476562,2048
5,block,17,508,14800848420864.0,0.0036913236925523807,225,0.10986328125,8913260544.0,14526603264.0,5.983872131845325e+18,2048
