component,layer,tokens_seen,hidden_dim,constant_energy_fraction,centered_energy_fraction,raw_total_energy,centered_total_energy,constant_total_energy,raw_pr,centered_pr,constant_pr,raw_entropy_norm,centered_entropy_norm,raw_k90,centered_k90,constant_k90,excluded_dims,raw_k90_no_excluded,centered_k90_no_excluded,constant_k90_no_excluded,raw_pr_no_excluded,centered_pr_no_excluded,constant_pr_no_excluded,raw_top1_frac_no_excluded,centered_top1_frac_no_excluded,constant_top1_frac_no_excluded,raw_energy_removed_frac,centered_energy_removed_frac,constant_energy_removed_frac,raw_k90_jump_no_excluded,centered_k90_jump_no_excluded,raw_top1_frac,centered_top1_frac,constant_top1_frac,raw_top_dim,constant_top_dim,variable_top_dim,constant_top_dim_energy_frac_of_raw,variable_top_dim_energy_frac_of_centered
mlp_delta,0,3276800,768,0.2614533469355234,0.7385466390370413,12749910545.125,9416403581.125,3333506785.151455,12.765407359703179,63.34659037229534,1.8882312836017516,0.7687479939569708,0.9041805105349315,533,585,9,690,589,602,57,213.26276087459468,432.0709669900876,6.585428112042547,0.048122799322133765,0.01510156185291641,0.36214846616492813,0.2754543787244719,0.11826580269268269,0.7194765558758641,56,17,0.2754543787244719,0.11826580269268269,0.7194765558758639,690,690,690,0.18810955357538775,0.11826580269268269
mlp_delta,1,3276800,768,0.013669390794979124,0.9863306454708985,2420039599827.0,2386959220562.5,33080467029.360157,1.0216117629337234,1.021187169705589,1.0529544557709232,0.018982916513636254,0.01865491019917094,1,1,1,690,551,552,274,270.63377808827767,269.15808933329845,80.6288607905231,0.04202150215748103,0.04271589059999893,0.08152605307251193,0.9893659620624226,0.9895716289896925,0.97452585632022,550,551,0.9893659620624226,0.9895716289896925,0.9745258563202199,690,690,690,0.013321174769852763,0.9895716289896925
mlp_delta,2,3276800,768,0.21026263950171198,0.7897373668114755,159365783377.0,125857114124.0,33508670259.106075,6.435652835969329,13.798167873920654,1.332839008711592,0.6923994497853023,0.8039486266942665,493,531,7,690,573,578,224,554.660377920467,586.7035811929561,55.28180052373706,0.007190627502185873,0.0056665241230055285,0.08514037250708412,0.39334573783450527,0.2675049068011316,0.8659984669562156,80,47,0.39334573783450527,0.2675049068011316,0.8659984669562156,690,690,690,0.18208712346665,0.2675049068011316
mlp_delta,3,3276800,768,0.20833175446433622,0.7916682485466728,299604793972.0,237187602500.0,62417192374.11274,13.303518274246592,49.50898074305437,1.6216519307691222,0.797103785499489,0.9029827665965212,524,558,65,690,573,578,262,555.5245748675441,578.6026817769301,133.49841252043663,0.00624786123737146,0.004657210057343519,0.033282024842467055,0.2724246203070699,0.13752356689890652,0.7850535361405779,49,20,0.2724246203070699,0.13752356689890652,0.7850535361405778,690,690,690,0.16355158053259775,0.13752356689890652
mlp_delta,4,3276800,768,0.09878862237631683,0.901211374028127,468530963040.0,422245432976.0,46285528379.37062,49.32688963205834,75.46956629746782,6.221570377060251,0.9123817884880157,0.9342000980747664,611,619,222,690,628,632,291,658.6796748908226,683.7411126557582,133.30774775877984,0.00527925058488692,0.0033431125944790485,0.043350978386513736,0.1383683532276292,0.1099627109114028,0.39750229607537096,17,13,0.1383683532276292,0.1099627109114028,0.39750229607537113,690,690,690,0.039268704220708724,0.1099627109114028
mlp_delta,5,3276800,768,0.11640493336858179,0.8835950774975803,1070380726944.0,945783141376.0,124597597198.93047,39.94053662278974,53.23521215036858,9.460414352841335,0.9006957187271406,0.9190365621124589,614,624,261,690,634,640,315,655.0248770431047,690.751976008452,130.21378181952474,0.006274890730271221,0.0035346621976960102,0.0508894035222826,0.1547465437731726,0.13302785743564183,0.31960666870485005,20,16,0.1547465437731726,0.13302785743564183,0.31960666870484994,690,690,690,0.03720379297474245,0.13302785743564183
mlp_delta,6,3276800,768,0.01002391302250659,0.989976029827044,11621668400640.0,11505173143232.0,116494593224.42862,1.2558060809184484,1.2348695603319884,36.92508401369079,0.1583549126414452,0.14866593790156796,28,2,281,690,651,656,302,697.8187829064715,726.6413950925873,141.93819384839884,0.005593084971402135,0.002695846599486741,0.04022928920403272,0.892347847414137,0.8998824009175737,0.14822389400122452,623,654,0.892347847414137,0.8998824009175737,0.14822389400122452,690,690,690,0.0014857834213255108,0.8998824009175737
mlp_delta,7,3276800,768,0.08296114949986381,0.9170388479916644,4069730774400.0,3732101220992.0,337629543199.19495,3.1276528946803093,3.1481249591631566,2.906767122576065,0.5353492772805873,0.5381848256177998,530,539,192,690,652,656,320,705.4385859187436,733.8013426516983,140.47667840125635,0.0066483076094272925,0.002794733206347103,0.05151816802095238,0.5652084514929923,0.5633734081202475,0.5854927094151553,122,117,0.5652084514929923,0.5633734081202475,0.5854927094151553,690,690,690,0.048573148196871016,0.5633734081202475
mlp_delta,8,3276800,768,0.22507138040032404,0.7749286107436816,2827391403264.0,2191026492160.0,636364886064.6377,12.914170078911642,70.86545487987476,1.4251558098666262,0.8075566628459733,0.9349437827558437,608,637,41,690,647,649,305,708.9299850573409,720.8417245948743,149.0306181085086,0.0036485250712692614,0.0027720200130910005,0.03638676982290648,0.2769419687221449,0.11411632088186609,0.8375563267137164,39,12,0.2769419687221449,0.11411632088186609,0.8375563267137164,690,690,690,0.18850995861648095,0.11411632088186609
mlp_delta,9,3276800,768,0.1517527613758078,0.8482472310208603,3057860857984.0,2593822005632.0,464038829102.0688,36.29416098098805,233.83632168583003,1.7048344615622548,0.8997820755555807,0.9728501261090704,629,645,103,690,648,650,313,720.5091454192325,727.3282350764523,186.30868292375322,0.003798599885028609,0.002684429574951471,0.02890976035709767,0.16303495830110415,0.05522002918357574,0.7656843481166183,19,5,0.16303495830110415,0.05522002918357574,0.7656843481166183,690,690,690,0.11619471416893212,0.05522002918357574
